ticket_id,ts,city,channel,text,label
T0000,2025-08-16T05:21:49.153431,Hamburg,app,Need help changing my booking time.,Support
T0001,2025-08-14T11:02:49.153431,Berlin,phone,Why is the surge so high? Price unexpectedly expensive.,Pricing
T0002,2025-08-16T02:44:49.153431,Berlin,app,Driver was speeding and driving aggressively.,Driver_behavior
T0003,2025-08-12T06:25:49.153431,Cologne,app,I was overcharged for a 11 km trip; fare seems wrong.,Pricing
T0004,2025-08-16T15:28:49.153431,Munich,phone,Driver missed the pickup point and didn't follow the route.,Driver_behavior
T0005,2025-08-10T11:15:49.153431,Munich,app,Driver missed the pickup point and didn't follow the route.,Driver_behavior
T0006,2025-08-14T16:21:49.153431,Cologne,app,The car AC was not working and engine temperature seemed high.,Vehicle_issue
T0007,2025-08-03T01:18:49.153431,Hamburg,app,Battery warning light turned on while driving.,Vehicle_issue
T0008,2025-08-04T14:09:49.153431,Berlin,email,I want a refund but the help center link is broken.,Support
T0009,2025-08-03T15:42:49.153431,Munich,phone,Pickup was late and the app kept changing ETA.,ETA_delay
T0010,2025-08-10T04:58:49.153431,Berlin,app,My ride arrived 31 minutes late in Munich. ETA was wrong.,ETA_delay
T0011,2025-08-08T11:46:49.153431,Munich,email,The estimated time to arrival was off by more than 18 minutes.,ETA_delay
T0012,2025-08-10T17:12:49.153431,Berlin,phone,Vehicle made strange vibration and noise during ride.,Vehicle_issue
T0013,2025-08-04T15:18:49.153431,Munich,app,How do I contact support about a lost item?,Support
T0014,2025-08-10T15:35:49.153431,Munich,phone,Rude attitude from the driver; please take action.,Driver_behavior
T0015,2025-08-11T13:55:49.153431,Berlin,email,The car AC was not working and engine temperature seemed high.,Vehicle_issue
T0016,2025-08-15T06:52:49.153431,Munich,phone,Driver missed the pickup point and didn't follow the route.,Driver_behavior
T0017,2025-08-11T22:53:49.153431,Cologne,email,Please update my email on the account.,Support
T0018,2025-08-13T12:59:49.153431,Hamburg,app,I want a refund but the help center link is broken.,Support
T0019,2025-08-03T11:45:49.153431,Cologne,phone,Promo code did not apply; charged full price.,Pricing
T0020,2025-08-11T19:14:49.153431,Munich,phone,Driver missed the pickup point and didn't follow the route.,Driver_behavior
T0021,2025-08-15T17:17:49.153431,Berlin,app,Driver was speeding and driving aggressively.,Driver_behavior
T0022,2025-08-07T04:27:49.153431,Berlin,email,How do I contact support about a lost item?,Support
T0023,2025-08-04T18:02:49.153431,Hamburg,phone,Rude attitude from the driver; please take action.,Driver_behavior
